State,share,trump
US,5.3,34.194442428962006
AK,22.0,40.90966113369311
AL,2.2,34.01047531816192
AR,2.9,30.193944451722427
AZ,7.0,34.17729384866575
CA,14.3,31.067767910259818
CO,3.6,30.348973457446647
CT,3.6,38.49783848521846
DC,3.6,40.574292137999976
DE,3.0,33.82343298666628
FL,2.8,40.971512819593855
GA,3.4,37.33556536219471
HI,54.4,22.677162321259964
IA,1.8,34.94038414284347
ID,3.3,36.75773422035758
IL,4.3,40.232680316984016
IN,2.1,33.736680431673264
KS,3.9,29.12767322225531
KY,1.9,25.67046883298909
LA,2.4,35.76838697185921
MA,4.4,37.07028599359614
MD,5.4,27.980398579210917
ME,2.0,32.260002691659466
ME 1st,1.9,33.180403271694
ME 2nd,2.1,33.20552918565095
MI,3.0,27.655566580461844
MN,3.9,38.22676804117092
MO,2.7,37.838109856861195
MS,1.2,40.819074484097186
MT,6.8,32.87859265601227
NC,4.0,38.39466105776575
ND,5.5,42.7412315423069
NE,2.7,27.68470842674826
NE 1st,3.0,33.50278941481529
NE 2nd,3.2,27.43147005602087
NE 3rd,1.9,47.218412561939374
NH,2.1,27.457574182352722
NJ,6.8,33.86108075319957
NM,6.9,35.68215396698137
NV,10.5,30.319816553425888
NY,5.5,39.510601460347075
OH,2.4,35.8592083349399
OK,10.0,35.621930296752396
OR,5.5,38.513414563681486
PA,2.9,37.93098453430138
RI,4.4,33.3388485688585
SC,2.1,38.18934575184476
SD,8.5,31.005740727288998
TN,2.7,31.822655721959002
TX,4.3,33.18102007290016
UT,4.4,35.46394557404719
VA,5.4,28.131086867670234
VT,2.1,26.344216324748402
WA,10.3,30.03919272171819
WI,2.7,35.66267480805954
WV,2.2,37.21002630609528
WY,3.9,25.25976603382795
