State,share,trump
US,13.0,8.109449820461007
AK,2.9,9.40804999574291
AL,26.3,7.51959904990867
AR,13.6,7.06554653417652
AZ,3.9,7.840415173318483
CA,6.9,7.539137478994687
CO,2.9,8.568749310759728
CT,8.7,8.729114410717644
DC,49.6,7.722118279868844
DE,19.6,9.189595333381243
FL,13.5,7.14323294876227
GA,32.3,8.607331698462886
HI,2.3,8.630755606437488
IA,2.0,10.65138888335977
ID,0.4,9.449774663490711
IL,17.2,8.167498521238507
IN,9.9,8.44205010562511
KS,4.7,8.023878986411685
KY,7.0,7.794982546248965
LA,32.8,8.381267192013837
MA,5.0,7.570391942208849
MD,30.6,8.398692855584915
ME,0.5,7.500025850318704
ME 1st,0.7,7.605498569471518
ME 2nd,0.4,7.85708462959426
MI,12.8,8.501735618059797
MN,3.3,7.266705855577815
MO,11.5,7.239967810942184
MS,39.7,7.629725334767435
MT,0.3,9.648567013435718
NC,25.0,7.330409915365358
ND,1.0,5.813615128821031
NE,3.6,7.509328975332139
NE 1st,2.2,9.602770374464713
NE 2nd,7.8,8.996893983008981
NE 3rd,0.6,8.941003389775316
NH,0.6,7.265448969533583
NJ,14.4,7.330053889061612
NM,1.8,8.623781643965533
NV,8.4,9.454325895212582
NY,16.2,8.442180096201035
OH,13.0,7.049725553724052
OK,7.5,7.532929062210865
OR,1.3,6.894533084296018
PA,10.3,7.524064259331334
RI,3.6,10.110278521119486
SC,28.7,8.253232376576193
SD,0.9,8.018955969779986
TN,17.6,7.0932625131557385
TX,14.8,7.245446080079772
UT,0.8,6.2659131993418855
VA,19.5,8.474260385466753
VT,0.7,8.617714240380131
WA,2.8,8.119542544175987
WI,5.9,7.8693226220024926
WV,3.6,9.783165231025297
WY,1.0,7.311787322050957
