,ELECTORAL VOTES,NON-COLLEGE-EDUCATED WHITE,COLLEGE-EDUCATED WHITE,BLACK,HISPANIC/LATINO,ASIAN/OTHER,CLINTON,TRUMP,OTHER
US,538,41.60%,31.30%,13.00%,8.90%,5.30%,51.60%,46.60%,1.70%
AK,3,40.60%,30.10%,2.90%,4.40%,22.00%,41.40%,54.20%,4.30%
AL,9,46.00%,24.00%,26.30%,1.50%,2.20%,39.00%,59.90%,1.10%
AR,6,54.30%,26.40%,13.60%,2.80%,2.90%,37.30%,60.10%,2.60%
AZ,11,41.60%,32.10%,3.90%,15.50%,7.00%,45.60%,52.70%,1.70%
CA,55,26.40%,28.60%,6.90%,23.70%,14.30%,61.00%,36.40%,2.60%
CO,9,41.60%,41.50%,2.90%,10.30%,3.60%,51.90%,45.70%,2.40%
CT,7,37.80%,41.50%,8.70%,8.30%,3.60%,58.60%,40.30%,1.20%
DC,3,2.20%,40.60%,49.60%,4.00%,3.60%,90.80%,7.40%,1.80%
DE,3,44.50%,29.00%,19.60%,4.00%,3.00%,59.20%,39.40%,1.40%
FL,29,40.10%,25.00%,13.50%,18.60%,2.80%,50.90%,48.30%,0.90%
GA,16,34.20%,26.60%,32.30%,3.30%,3.40%,46.50%,52.20%,1.20%
HI,4,15.20%,20.20%,2.30%,7.90%,54.40%,70.60%,27.70%,1.60%
IA,6,62.00%,32.00%,2.00%,2.10%,1.80%,52.20%,46.00%,1.80%
ID,4,60.40%,30.50%,0.40%,5.40%,3.30%,33.00%,64.10%,2.80%
IL,20,38.00%,34.00%,17.20%,6.40%,4.30%,58.10%,40.20%,1.70%
IN,11,54.60%,30.50%,9.90%,2.90%,2.10%,44.30%,53.70%,1.90%
KS,6,48.20%,38.50%,4.70%,4.70%,3.90%,38.30%,59.40%,2.30%
KY,8,62.20%,27.60%,7.00%,1.30%,1.90%,38.10%,60.20%,1.70%
LA,8,40.20%,22.50%,32.80%,2.10%,2.40%,41.20%,57.10%,1.60%
MA,11,40.00%,45.10%,5.00%,5.40%,4.40%,61.00%,37.20%,1.80%
MD,10,29.20%,31.30%,30.60%,3.50%,5.40%,62.80%,35.10%,2.10%
ME,2,61.60%,35.10%,0.50%,0.80%,2.00%,56.50%,40.70%,2.70%
ME 1st,1,54.80%,41.70%,0.70%,0.90%,1.90%,59.80%,37.90%,2.20%
ME 2nd,1,69.00%,27.80%,0.40%,0.70%,2.10%,52.90%,43.80%,3.30%
MI,16,52.50%,29.40%,12.80%,2.30%,3.00%,54.30%,44.60%,1.10%
MN,10,53.70%,37.40%,3.30%,1.70%,3.90%,53.10%,44.50%,2.40%
MO,10,53.20%,30.90%,11.50%,1.80%,2.70%,44.70%,53.50%,1.80%
MS,6,38.80%,19.30%,39.70%,1.10%,1.20%,44.70%,54.40%,0.90%
MT,3,56.70%,34.20%,0.30%,1.90%,6.80%,41.90%,55.20%,2.90%
NC,15,40.40%,28.00%,25.00%,2.50%,4.00%,49.00%,49.80%,1.30%
ND,3,59.60%,32.20%,1.00%,1.70%,5.50%,39.10%,57.90%,3.00%
NE,2,53.90%,35.80%,3.60%,4.10%,2.70%,38.50%,59.30%,2.20%
NE 1st,1,55.20%,36.30%,2.20%,3.40%,3.00%,41.10%,56.70%,2.20%
NE 2nd,1,41.40%,43.60%,7.80%,4.00%,3.20%,46.00%,52.20%,1.80%
NE 3rd,1,65.50%,27.20%,0.60%,4.80%,1.90%,28.00%,69.40%,2.60%
NH,4,56.50%,39.20%,0.60%,1.60%,2.10%,52.10%,46.30%,1.60%
NJ,14,32.90%,34.80%,14.40%,11.10%,6.80%,59.20%,39.70%,1.00%
NM,5,27.50%,26.50%,1.80%,37.40%,6.90%,53.60%,42.20%,4.20%
NV,6,41.90%,24.10%,8.40%,15.10%,10.50%,53.20%,44.70%,2.10%
NY,29,29.80%,35.90%,16.20%,12.60%,5.50%,64.10%,34.60%,1.30%
OH,18,53.30%,29.50%,13.00%,1.80%,2.40%,50.90%,47.40%,1.60%
OK,7,49.30%,28.80%,7.50%,4.60%,10.00%,33.90%,66.10%,0.00%
OR,7,53.10%,35.40%,1.30%,4.70%,5.50%,54.70%,41.80%,3.60%
PA,20,49.80%,33.40%,10.30%,3.60%,2.90%,52.30%,46.30%,1.50%
RI,4,49.20%,35.50%,3.60%,7.20%,4.40%,62.80%,35.10%,2.10%
SC,9,38.80%,28.40%,28.70%,1.90%,2.10%,44.10%,54.50%,1.40%
SD,3,54.60%,34.30%,0.90%,1.70%,8.50%,40.40%,57.40%,2.20%
TN,11,47.90%,30.10%,17.60%,1.80%,2.70%,39.60%,59.00%,1.40%
TX,38,31.40%,29.40%,14.80%,20.10%,4.30%,42.40%,56.10%,1.50%
UT,6,49.40%,38.90%,0.80%,6.50%,4.40%,25.40%,72.10%,2.50%
VA,13,36.70%,34.80%,19.50%,3.60%,5.40%,51.80%,46.60%,1.60%
VT,3,54.60%,41.50%,0.70%,1.10%,2.10%,66.50%,31.10%,2.50%
WA,12,47.20%,34.80%,2.80%,5.00%,10.30%,56.60%,40.90%,2.50%
WI,10,57.20%,31.90%,5.90%,2.30%,2.70%,53.10%,45.60%,1.30%
WV,5,65.70%,27.50%,3.60%,1.00%,2.20%,35.80%,62.00%,2.20%
WY,3,55.00%,34.50%,1.00%,5.70%,3.90%,28.70%,67.80%,3.50%
