State,share,trump
US,8.9,45.760486032760056
AK,4.4,27.06407823162058
AL,1.5,7.945335869089025
AR,2.8,11.621149168944106
AZ,15.5,29.123942048145786
CA,23.7,32.07111068901399
CO,10.3,22.34993597838853
CT,8.3,35.375501645618236
DC,4.0,31.67280512225685
DE,4.0,26.506471979395887
FL,18.6,21.043525033381584
GA,3.3,27.467224868673842
HI,7.9,24.6657087197412
IA,2.1,17.09153285485715
ID,5.4,29.812671493896502
IL,6.4,29.415716757895364
IN,2.9,13.302290209390067
KS,4.7,37.44706476677836
KY,1.3,18.380676146923427
LA,2.1,17.982464433118984
MA,5.4,32.02455856051907
MD,3.5,34.076830467825076
ME,0.8,23.89223236167233
ME 1st,0.9,30.685504930097185
ME 2nd,0.7,42.33713123936292
MI,2.3,39.885248529521576
MN,1.7,32.01061296517923
MO,1.8,35.26396555874489
MS,1.1,15.136271232863974
MT,1.9,27.741552215579013
NC,2.5,15.302953324354405
ND,1.7,28.93866971546212
NE,4.1,26.27066862018089
NE 1st,3.4,31.904255638076645
NE 2nd,4.0,22.95427867052497
NE 3rd,4.8,27.247055854689755
NH,1.6,28.534764980036446
NJ,11.1,18.435024975557468
NM,37.4,22.211151062871345
NV,15.1,25.48767258624394
NY,12.6,38.67787115608867
OH,1.8,37.829146435957306
OK,4.6,23.612272579372085
OR,4.7,27.43198390966946
PA,3.6,32.70578724837826
RI,7.2,18.333793938469007
SC,1.9,30.294363342756967
SD,1.7,15.875624263138366
TN,1.8,44.345020001974675
TX,20.1,15.885054772144953
UT,6.5,14.359416005190043
VA,3.6,31.44293319856353
VT,1.1,18.601827551384943
WA,5.0,14.589684894265398
WI,2.3,35.68601400245224
WV,1.0,31.575198786925014
WY,5.7,25.982227158876615
